State,District,Year,Quater,Registered_users,App_opens
andaman-&-nicobar-islands,north and middle andaman district,2018,1,632,0
andaman-&-nicobar-islands,south andaman district,2018,1,5846,0
andaman-&-nicobar-islands,nicobars district,2018,1,262,0
andaman-&-nicobar-islands,north and middle andaman district,2018,2,911,0
andaman-&-nicobar-islands,south andaman district,2018,2,8143,0
andaman-&-nicobar-islands,nicobars district,2018,2,351,0
andaman-&-nicobar-islands,north and middle andaman district,2018,3,1208,0
andaman-&-nicobar-islands,south andaman district,2018,3,10474,0
andaman-&-nicobar-islands,nicobars district,2018,3,467,0
andaman-&-nicobar-islands,north and middle andaman district,2018,4,1553,0
andaman-&-nicobar-islands,south andaman district,2018,4,13133,0
andaman-&-nicobar-islands,nicobars district,2018,4,536,0
andaman-&-nicobar-islands,north and middle andaman district,2019,1,2013,0
andaman-&-nicobar-islands,south andaman district,2019,1,15961,0
andaman-&-nicobar-islands,nicobars district,2019,1,622,0
andaman-&-nicobar-islands,north and middle andaman district,2019,2,2417,6118
andaman-&-nicobar-islands,south andaman district,2019,2,18621,43569
andaman-&-nicobar-islands,nicobars district,2019,2,693,2953
andaman-&-nicobar-islands,north and middle andaman district,2019,3,2662,22064
andaman-&-nicobar-islands,south andaman district,2019,3,20518,138190
andaman-&-nicobar-islands,nicobars district,2019,3,751,10853
andaman-&-nicobar-islands,north and middle andaman district,2019,4,2955,26253
andaman-&-nicobar-islands,south andaman district,2019,4,22202,139646
andaman-&-nicobar-islands,nicobars district,2019,4,803,11113
andaman-&-nicobar-islands,north and middle andaman district,2020,1,3315,30444
andaman-&-nicobar-islands,south andaman district,2020,1,24174,151529
andaman-&-nicobar-islands,nicobars district,2020,1,879,11613
andaman-&-nicobar-islands,north and middle andaman district,2020,2,4100,56992
andaman-&-nicobar-islands,south andaman district,2020,2,27626,231071
andaman-&-nicobar-islands,nicobars district,2020,2,984,17009
andaman-&-nicobar-islands,north and middle andaman district,2020,3,5355,76553
andaman-&-nicobar-islands,south andaman district,2020,3,34833,417785
andaman-&-nicobar-islands,nicobars district,2020,3,1147,21227
andaman-&-nicobar-islands,north and middle andaman district,2020,4,7076,125915
andaman-&-nicobar-islands,south andaman district,2020,4,43908,725321
andaman-&-nicobar-islands,nicobars district,2020,4,1412,35972
andaman-&-nicobar-islands,north and middle andaman district,2021,1,7833,121680
andaman-&-nicobar-islands,south andaman district,2021,1,48352,837589
andaman-&-nicobar-islands,nicobars district,2021,1,1573,45067
andaman-&-nicobar-islands,north and middle andaman district,2021,2,8493,596182
andaman-&-nicobar-islands,south andaman district,2021,2,51903,1270226
andaman-&-nicobar-islands,nicobars district,2021,2,1699,381815
andaman-&-nicobar-islands,north and middle andaman district,2021,3,9263,759314
andaman-&-nicobar-islands,south andaman district,2021,3,55873,1771107
andaman-&-nicobar-islands,nicobars district,2021,3,1846,591204
andaman-&-nicobar-islands,north and middle andaman district,2021,4,10002,171921
andaman-&-nicobar-islands,south andaman district,2021,4,59807,1863037
andaman-&-nicobar-islands,nicobars district,2021,4,1971,77952
andaman-&-nicobar-islands,north and middle andaman district,2022,1,10720,904869
andaman-&-nicobar-islands,south andaman district,2022,1,63487,2368756
andaman-&-nicobar-islands,nicobars district,2022,1,2081,573782
andaman-&-nicobar-islands,north and middle andaman district,2022,2,11379,963824
andaman-&-nicobar-islands,south andaman district,2022,2,66959,3404740
andaman-&-nicobar-islands,nicobars district,2022,2,2192,811449
andaman-&-nicobar-islands,north and middle andaman district,2022,3,11897,1176567
andaman-&-nicobar-islands,south andaman district,2022,3,70445,3607286
andaman-&-nicobar-islands,nicobars district,2022,3,2300,1284501
andaman-&-nicobar-islands,north and middle andaman district,2022,4,12361,313502
andaman-&-nicobar-islands,south andaman district,2022,4,73692,3881359
andaman-&-nicobar-islands,nicobars district,2022,4,2389,159232
andaman-&-nicobar-islands,north and middle andaman district,2023,1,12941,3103047
andaman-&-nicobar-islands,south andaman district,2023,1,77052,5450795
andaman-&-nicobar-islands,nicobars district,2023,1,2491,2458822
andaman-&-nicobar-islands,north and middle andaman district,2023,2,13600,3174229
andaman-&-nicobar-islands,south andaman district,2023,2,80112,6884657
andaman-&-nicobar-islands,nicobars district,2023,2,2617,4679790
andaman-&-nicobar-islands,north and middle andaman district,2023,3,14216,7130284
andaman-&-nicobar-islands,south andaman district,2023,3,83305,5950899
andaman-&-nicobar-islands,nicobars district,2023,3,2734,7463896
andaman-&-nicobar-islands,north and middle andaman district,2023,4,14813,1869462
andaman-&-nicobar-islands,south andaman district,2023,4,86348,7452861
andaman-&-nicobar-islands,nicobars district,2023,4,2817,523637
andhra-pradesh,east godavari district,2018,1,350356,0
andhra-pradesh,srikakulam district,2018,1,143839,0
andhra-pradesh,visakhapatnam district,2018,1,497187,0
andhra-pradesh,prakasam district,2018,1,189949,0
andhra-pradesh,anantapur district,2018,1,241192,0
andhra-pradesh,kurnool district,2018,1,240133,0
andhra-pradesh,guntur district,2018,1,317065,0
andhra-pradesh,krishna district,2018,1,323673,0
